"","date","BIOMASS_200","BIOMASS_500","TOTAL_DENSITY_200","TOTAL_DENSITY_500","ASH_200","ASH_500","yday","month"
"1",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"2",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"3",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"4",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"5",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"6",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"7",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"8",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"9",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"10",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"11",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"12",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"13",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"14",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"15",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"16",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"17",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"18",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"19",1995-11-08,NA,NA,NA,NA,NA,NA,312,11
"20",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"21",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"22",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"23",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"24",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"25",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"26",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"27",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"28",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"29",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"30",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"31",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"32",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"33",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"34",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"35",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"36",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"37",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"38",1995-12-13,NA,NA,NA,NA,NA,NA,347,12
"39",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"40",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"41",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"42",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"43",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"44",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"45",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"46",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"47",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"48",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"49",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"50",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"51",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"52",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"53",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"54",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"55",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"56",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"57",1996-01-12,NA,NA,NA,NA,NA,NA,12,1
"58",1996-02-13,NA,NA,NA,NA,NA,NA,44,2
"59",1996-02-13,NA,NA,NA,NA,NA,NA,44,2
